Run	AvgSpotLen	Bases	Organism	geo_loc_name_country	BioProject	Collection_date	Month	Library.Name	Location	collected_by
SRR17138866	309	53557305	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032409	KwaZulu-Natal	National Health Laboratory Service
SRR17138867	323	34438917	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032408	KwaZulu-Natal	National Health Laboratory Service
SRR17138868	309	41817604	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032407	KwaZulu-Natal	National Health Laboratory Service
SRR17138869	310	36534888	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-25	11	K032406	KwaZulu-Natal	National Health Laboratory Service
SRR17138870	327	49740245	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032388	KwaZulu-Natal	National Health Laboratory Service
SRR17138871	309	35196524	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032405	KwaZulu-Natal	National Health Laboratory Service
SRR17138872	308	32683085	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032404	KwaZulu-Natal	National Health Laboratory Service
SRR17138873	304	38953284	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032403	KwaZulu-Natal	National Health Laboratory Service
SRR17138874	316	29696887	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032402	KwaZulu-Natal	National Health Laboratory Service
SRR17138875	326	59974115	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-25	11	K032401	KwaZulu-Natal	National Health Laboratory Service
SRR17138876	326	44891458	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032400	KwaZulu-Natal	National Health Laboratory Service
SRR17138877	315	44142400	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032399	KwaZulu-Natal	National Health Laboratory Service
SRR17138878	322	20930855	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032398	KwaZulu-Natal	National Health Laboratory Service
SRR17138879	309	47595812	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032397	KwaZulu-Natal	National Health Laboratory Service
SRR17138880	307	37943695	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032396	KwaZulu-Natal	National Health Laboratory Service
SRR17138881	306	50151487	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032387	KwaZulu-Natal	National Health Laboratory Service
SRR17138882	307	51264896	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-24	11	K032386	KwaZulu-Natal	National Health Laboratory Service
SRR17006644	423	26989861	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026618	KwaZulu-Natal	National Health Laboratory service
SRR17006683	429	93725953	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-15	09	K026772	Gauteng	University of Pretoria
SRR17006713	423	74848789	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-12	10	K026658	Eastern Cape	National Health Laboratory service
SRR17006732	451	56919823	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026597	KwaZulu-Natal	National Health Laboratory service
SRR17006733	442	82495522	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-08	10	K026596	KwaZulu-Natal	National Health Laboratory service
SRR17006742	427	16595912	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026588	KwaZulu-Natal	National Health Laboratory service
SRR17006864	415	19856854	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026689	Eastern Cape	National Health Laboratory service
SRR17006868	415	66191856	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026686	Eastern Cape	National Health Laboratory service
SRR17006666	430	126706484	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-28	09	K026788	Gauteng	National Health Laboratory service
SRR17006672	430	121146849	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-27	09	K026782	Gauteng	National Health Laboratory service
SRR17006700	421	110562820	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-08	10	K026670	Eastern Cape	National Health Laboratory service
SRR17006711	419	75800257	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-13	10	K026660	Eastern Cape	National Health Laboratory service
SRR17006809	392	59679501	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-16	09	K026760	Mpumalanga	University of Pretoria
SRR17006837	412	12731161	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-27	09	K026736	Gauteng	University of Pretoria
SRR17006870	416	69347922	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-22	09	K026684	Eastern Cape	National Health Laboratory service
SRR17006662	466	98768818	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026601	KwaZulu-Natal	National Health Laboratory service
SRR17006784	446	75521791	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026637	Eastern Cape	National Health Laboratory service
SRR17006851	413	102953046	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-23	09	K026701	Eastern Cape	National Health Laboratory service
SRR17014929	309	61399844	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-29	10	K027892	KwaZulu-Natal	National Health Laboratory Service
SRR17026799	339	51273843	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027311	KwaZulu-Natal	National Health Laboratory Service
SRR17041376	279	63622299	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-12	11	K030837	Gauteng	National Health Laboratory Service
SRR17088915	328	57662307	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-19	11	K032279	KwaZulu-Natal	National Health Laboratory Service
SRR17054508	312	49033049	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-23	11	CERI-KRISP-K032285	KwaZulu-Natal	National Health Laboratory Service
SRR17090369	313	63584709	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-22	10	K027442	Gauteng	National Health Laboratory Service
SRR17088902	307	34440984	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032291	KwaZulu-Natal	National Health Laboratory Service
SRR17088911	321	165247476	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-22	11	K032283	KwaZulu-Natal	National Health Laboratory Service
SRR17088924	327	164800365	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-19	11	K032271	KwaZulu-Natal	National Health Laboratory Service
SRR17024205	277	3483367	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026895	Gauteng	National Health Laboratory service
SRR17051937	300	89762596	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-20	11	CERI-KRISP-K032241	Gauteng	National Health Laboratory Service
SRR17051943	299	36363608	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-22	11	CERI-KRISP-K032234	Gauteng	National Health Laboratory Service
SRR17051919	292	77718648	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-17	11	CERI-KRISP-K032190	Gauteng	National Health Laboratory Service
SRR17051922	299	78330602	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA784038	2021-11-18	11	CERI-KRISP-K032208	Gauteng	National Health Laboratory Service
SRR17090379	321	93934116	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027450	Gauteng	National Health Laboratory Service
SRR17006659	434	101621700	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-07	10	K026604	KwaZulu-Natal	National Health Laboratory service
SRR17006723	428	75404915	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-02	10	K026568	KwaZulu-Natal	National Health Laboratory service
SRR17006755	415	73839715	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-21	09	K026723	Eastern Cape	National Health Laboratory service
